tpm,cultivar
15.746307,KLS 116-1
19.614486,KLS 116-1
20.021657,KLS 116-1
23.306093,Sochung2
19.514803,Sochung2
18.952414,Sochung2
16.301192999999998,Kangwon sujib2-33
15.301204,Kangwon sujib2-33
18.389025,Kangwon sujib2-33
44.977651,Kyoungbuk Kyoungsan-1997-54
13.814017000000002,Kyoungbuk Kyoungsan-1997-54
16.850901999999998,Kyoungbuk Kyoungsan-1997-54
30.718740999999998,Ilpumgeomjeong
44.46464,Ilpumgeomjeong
25.408051999999998,Ilpumgeomjeong
18.726684,IT112859
14.167797,IT112859
16.177807,IT112859
46.397431,Geomeunbak
32.338423999999996,Geomeunbak
29.009446,Geomeunbak
19.129286999999998,Dongsan133
17.552388,Dongsan133
20.399588,Dongsan133
17.500552,KLS88066
33.796319,KLS88066
21.11965,KLS88066
15.166145000000002,KAS590-6
13.896118,KAS590-6
17.313339000000003,KAS590-6
18.404098,KAS210-22
18.342726000000003,KAS210-22
21.735951999999997,KAS210-22
24.738392,PI 227159
20.897904999999998,PI 227159
19.974831,PI 227159
22.071481,YB316-3
27.711652,YB316-3
28.224238,YB316-3
26.524017999999998,IT177388
20.471887,IT177388
27.139232,IT177388
16.004067000000003,KLS123-1
39.348104,KLS123-1
38.12084,KLS123-1
15.742211,Heugcheong
15.214466,Heugcheong
15.111973,Heugcheong
26.411713,PI 96983
31.840578999999998,PI 96983
26.121291,PI 96983
22.528467000000003,SLSB397-1
22.780304,SLSB397-1
23.607485,SLSB397-1
56.137207,PI 399122
42.503820000000005,PI 399122
24.299733,PI 399122
14.393760999999998,Chungja
13.762062,Chungja
14.049035,Chungja
15.201572,Cheongja3
16.350696,Cheongja3
28.348925,Cheongja3
24.395125,SS0404-T5-76
19.30547,SS0404-T5-76
30.806264000000002,SS0404-T5-76
16.20291,KAS660-21
17.596095000000002,KAS660-21
14.968810000000001,KAS660-21
18.706137,KAS505-1
25.803589000000002,KAS505-1
21.183197,KAS505-1
15.752845,IT178024
14.61275,IT178024
15.950547,IT178024
14.269706,IT104334
18.385268,IT104334
16.778696,IT104334
15.057901000000001,YN154
23.506086,YN154
18.659316,YN154
16.768526,KAS660-12
18.385761,KAS660-12
13.929731,KAS660-12
13.12585,Pureun
17.183249,Pureun
17.56031,Pureun
26.993011,Milyang12
28.378140000000002,Milyang12
35.378094,Milyang12
16.907111999999998,Williams 82K
18.007505,Williams 82K
18.316505,Williams 82K
12.692184,Daepung
15.422766000000001,Daepung
14.781487,Daepung
25.775719,Taekwang
28.702164,Taekwang
22.993615,Taekwang
21.235903,Heuin
20.158082,Heuin
17.170343,Heuin
19.951665,Hwangkeum
29.058553999999997,Hwangkeum
29.940238,Hwangkeum
22.121577,Wooram
20.987325,Wooram
27.70373,Wooram
14.123942999999999,Yonpoong
15.147866,Yonpoong
22.496225,Yonpoong
16.672363,Haman
17.570593,Haman
18.595807,Haman
16.719753,L62-667
21.168835,L62-667
15.949704,L62-667
16.745686,Daeyang
15.476610999999998,Daeyang
15.403659,Daeyang
21.580126,PI 88820
21.335822,PI 88820
18.769849,PI 88820
33.201273,Pungwon
29.947178000000005,Pungwon
26.110668,Pungwon
18.037872,Somyung
24.327978,Somyung
30.963812,Somyung
25.145278,Bangsa
31.658217999999998,Bangsa
25.945719,Bangsa
27.38928,Danbaek
28.989969,Danbaek
31.962665,Danbaek
20.322460999999997,Shinhwa
20.348154,Shinhwa
21.801130999999998,Shinhwa
15.845045,KLS86083
18.880454999999998,KLS86083
22.779474,KLS86083
24.143447000000002,PI 60269-2
27.876047999999997,PI 60269-2
20.444231,PI 60269-2
20.204581,PI 84644
20.14732,PI 84644
22.785799,PI 84644
